frequency, decay constant, Q, amplitude, phase, error
1.6181, 1.889460e-02, 269.041, 53.819, 0.486724, 5.953755e-05
1.63682, 1.446517e-02, 355.489, 49.6214, 0.896885, 6.768601e-05
1.65147, -2.774243e-02, -187.015, 52.8314, -1.65105, 1.813499e-04
1.67481, 1.019944e-02, 515.87, 29.1116, 2.84808, 3.834740e-05
1.68559, 5.556893e-03, 952.95, 6.31306, -0.309121, 6.607257e-05
1.69253, 3.072973e-03, 1730.32, 4.86688, 1.46894, 2.061626e-05
1.73057, 9.158082e-03, 593.656, 57.3422, 1.66124, 2.338501e-05
1.74882, -1.014778e-03, -5414.08, 2.96906, 2.05792, 8.775318e-06
1.77485, 3.174842e-02, 175.627, 146.75, 1.81378, 2.154251e-04
1.78683, -1.094694e-02, -512.791, 0.168357, 1.84105, 8.351442e-05
1.80919, -8.090678e-03, -702.505, 0.440741, -2.1957, 8.371361e-05
1.8298, 5.129568e-03, 1120.66, 15.327, 0.897153, 3.481339e-05
1.84798, 9.772399e-03, 594.081, 112.957, 0.596992, 1.655086e-05
1.86618, -3.369239e-03, -1740.09, 0.249503, 1.50815, 5.154708e-05
1.89378, -8.450438e-03, -704.045, 0.480174, 2.88222, 8.202562e-05
1.9084, -9.440566e-03, -635.068, 0.249525, -2.36203, 1.236218e-04
1.92383, 7.982370e-03, 757.157, 62.7795, -0.147396, 1.795876e-05
1.94296, 1.280412e-02, 476.722, 593.804, 1.52627, 1.761043e-05
1.95606, 2.751076e-02, 223.372, 417.935, -0.478227, 3.963887e-05
1.97979, -1.284730e-02, -484.124, 0.370243, -2.92081, 1.168506e-05
1.99977, -3.641963e-03, -1725.02, 8.30494, -2.07329, 2.631160e-06
